CIMS HOSPITAL - AHMEDABAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily_Sales_Revenue(2020.12.01--2020.12.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulars,Session,Section,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020,Total
,,,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,
Sales,NA,NA,4830,3672,2520,5170,4121,0,6810,6181,4525,5210,4920,3385,1210,5940,4510,3626,4081,3120,2817,1005,6950,5630,4101,3285,3710,2628,1320,4510,3710,2520,3350,119367
Covers,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bills,NA,,60,9,72,79,91,0,119,104,106,90,110,99,28,147,95,44,92,108,113,54,18,115,98,123,106,94,49,117,106,93,104,2643
Covers Turn,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,NA,,60,9,72,79,91,0,119,104,106,90,110,99,28,147,95,44,92,108,113,54,18,115,98,123,106,94,49,117,106,93,104,2643
Bills,Total,,60,9,72,79,91,0,119,104,106,90,110,99,28,147,95,44,92,108,113,54,18,115,98,123,106,94,49,117,106,93,104,2643
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Contribution,,NA,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
