CIMS HOSPITAL - AHMEDABAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily_Sales_Revenue(2021.03.01--2021.03.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulars,Session,Section,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021,Total
,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,
Sales,NA,NA,6580,5810,4458,5050,3900,2180,2530,5569,5780,6010,5105,4420,3215,2981,6300,5490,4580,3210,2590,1464,1050,4450,3651,5215,6580,4424,3010,1380,4926,3905,2625,128438
Covers,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bills,NA,,198,168,179,155,168,103,88,188,161,152,143,141,111,68,89,154,162,150,171,115,86,184,142,197,175,64,98,32,93,140,123,4198
Covers Turn,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,NA,,198,168,179,155,168,103,88,188,161,152,143,141,111,68,89,154,162,150,171,115,86,184,142,197,175,64,98,32,93,140,123,4198
Bills,Total,,198,168,179,155,168,103,88,188,161,152,143,141,111,68,89,154,162,150,171,115,86,184,142,197,175,64,98,32,93,140,123,4198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Contribution,,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
